text,label,label_name,cognitive_demand
Design database schema for undo-redo with normalization,0,DEEP_WORK,0.913
Compose original background music for dark mode meditation mode,2,CREATIVE,0.728
Fix broken link in getting started documentation,1,SHALLOW_WORK,0.093
Draft SOW document for dark mode consulting engagement,4,COMMUNICATION,0.38
Add missing type annotations to auth module,1,SHALLOW_WORK,0.347
Add environment variable for logging setting,1,SHALLOW_WORK,0.0
Process expense reports for January purchases,3,ADMINISTRATIVE,0.305
Add default value for username in analytics model,1,SHALLOW_WORK,0.371
Draft SOW document for export consulting engagement,4,COMMUNICATION,0.473
Create onboarding documentation for dashboard SDK users,4,COMMUNICATION,0.611
Create onboarding checklist for new backend engineer hire,3,ADMINISTRATIVE,0.477
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.343
Design fault-tolerant dashboard with automatic failover and recovery,0,DEEP_WORK,0.811
Optimize messaging query performance reducing latency by 50%,0,DEEP_WORK,1.0
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.599
Refactor the cache codebase to use decorator pattern,0,DEEP_WORK,0.793
Draft SOW document for real-time sync consulting engagement,4,COMMUNICATION,0.612
Update API version number to 4.0.0,1,SHALLOW_WORK,0.425
Run linter and fix formatting issues in inventory,1,SHALLOW_WORK,0.358
Write technical specification for undo-redo architecture,0,DEEP_WORK,0.707
Create motion design for gateway state transitions,2,CREATIVE,0.868
Write unit tests for the billing engine covering edge cases,0,DEEP_WORK,0.732
Update API version number to 3.2.1,1,SHALLOW_WORK,0.224
Create onboarding documentation for billing SDK users,4,COMMUNICATION,0.598
Add logging to analytics endpoint,1,SHALLOW_WORK,0.099
Write compiler pass for quicksort optimization in the build system,0,DEEP_WORK,1.0
Audit payment service uptime logs for last month,3,ADMINISTRATIVE,0.251
Add .env.example file with required variables,1,SHALLOW_WORK,0.172
Pin moment to specific version for stability,1,SHALLOW_WORK,0.442
Implement OAuth 2.0 authentication flow with token refresh,0,DEEP_WORK,0.987
Brainstorm innovative solutions for mobile performance user pain point,2,CREATIVE,0.677
Coordinate vendor contract renewal for Notion licenses,3,ADMINISTRATIVE,0.407
Write blog post about our two-factor auth technical architecture,4,COMMUNICATION,0.55
Implement distributed gradient descent consensus protocol for payment,0,DEEP_WORK,0.789
Brainstorm innovative solutions for retention user pain point,2,CREATIVE,0.839
Add input validation for date_of_birth field in payment form,1,SHALLOW_WORK,0.122
Pin axios to specific version for stability,1,SHALLOW_WORK,0.407
Run linter and fix formatting issues in messaging,1,SHALLOW_WORK,0.352
Update logging configuration for staging environment,1,SHALLOW_WORK,0.249
Draft proposal for undo-redo partnership opportunity,4,COMMUNICATION,0.603
Draft email to design team about performance optimization deadline change,4,COMMUNICATION,0.552
Design and implement caching strategy for scheduling reducing DB load,0,DEEP_WORK,0.874
Write incident postmortem for the payment outage last week,4,COMMUNICATION,0.557
Coordinate vendor contract renewal for Confluence licenses,3,ADMINISTRATIVE,0.475
Design gamification system for version history user engagement,2,CREATIVE,0.771
Update CI pipeline to use Node 1.12.0,1,SHALLOW_WORK,0.209
Design new onboarding flow for first-time student users,2,CREATIVE,0.527
Write technical blog comparing dynamic programming vs alternative approaches,4,COMMUNICATION,0.412
Draft proposal for push notification partnership opportunity,4,COMMUNICATION,0.523
Write compiler pass for k-means optimization in the build system,0,DEEP_WORK,0.896
Record demo video showing real-time sync new capabilities,4,COMMUNICATION,0.627
Compose apology communication regarding search service disruption,4,COMMUNICATION,0.282
Design data visualization dashboard for geospatial metrics,2,CREATIVE,0.838
Analyze log dataset and build regression model,0,DEEP_WORK,0.813
Move constants.ts to the billing directory,1,SHALLOW_WORK,0.328
Create typography system for Luminary design language,2,CREATIVE,0.961
Create illustration set for API reference help center articles,2,CREATIVE,0.727
Coordinate vendor contract renewal for Confluence licenses,3,ADMINISTRATIVE,0.155
Brainstorm innovative solutions for retention user pain point,2,CREATIVE,0.752
Create onboarding checklist for new QA hire,3,ADMINISTRATIVE,0.345
Prepare talking points for design review customer call,4,COMMUNICATION,0.6
Update migration JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.411
Clean up unused imports in inventory files,1,SHALLOW_WORK,0.374
Create onboarding documentation for messaging SDK users,4,COMMUNICATION,0.469
Draft proposal for export partnership opportunity,4,COMMUNICATION,0.689
Design immersive auto-save experience with parallax scrolling,2,CREATIVE,0.712
Update S3 configuration for staging environment,1,SHALLOW_WORK,0.199
Design award-worthy UI for push notification settings panel,2,CREATIVE,0.606
Update project timeline in Asana for Q4 milestones,3,ADMINISTRATIVE,0.354
Update API version number to 3.2.1,1,SHALLOW_WORK,0.218
Debug the race condition crash in the payment service,0,DEEP_WORK,0.869
Create brand storytelling narrative for AuraSync campaign,2,CREATIVE,0.839
Compose original background music for push notification meditation mode,2,CREATIVE,0.732
Archive completed search project files and close tickets,3,ADMINISTRATIVE,0.586
Create brand storytelling narrative for FlowState campaign,2,CREATIVE,0.814
Archive completed analytics project files and close tickets,3,ADMINISTRATIVE,0.161
Draft proposal for push notification partnership opportunity,4,COMMUNICATION,0.326
Add missing type annotations to notification module,1,SHALLOW_WORK,0.179
Update security JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.253
Update database configuration for staging environment,1,SHALLOW_WORK,0.238
Design data visualization dashboard for geospatial metrics,2,CREATIVE,0.589
Implement custom gradient descent solver for the constraint optimization engine,0,DEEP_WORK,0.822
Build generative art system for user profile avatars,2,CREATIVE,0.812
Implement distributed quicksort consensus protocol for gateway,0,DEEP_WORK,0.864
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.392
Prepare slide deck for design review stakeholder presentation,3,ADMINISTRATIVE,0.308
Implement random forest algorithm for the cache module,0,DEEP_WORK,0.955
Create onboarding documentation for cache SDK users,4,COMMUNICATION,0.421
Move helpers.js to the dashboard directory,1,SHALLOW_WORK,0.155
Review and update team access permissions in Asana,3,ADMINISTRATIVE,0.249
Refactor the cache codebase to use hexagonal pattern,0,DEEP_WORK,0.854
Write formal verification proofs for the analytics safety module,0,DEEP_WORK,0.801
Write incident postmortem for the notification outage last week,4,COMMUNICATION,0.444
Run linter and fix formatting issues in cache,1,SHALLOW_WORK,0.127
Fix broken link in deployment documentation,1,SHALLOW_WORK,0.184
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.458
Analyze genomic dataset and build regression model,0,DEEP_WORK,0.93
Create illustration set for API reference help center articles,2,CREATIVE,0.764
Run linter and fix formatting issues in reporting,1,SHALLOW_WORK,0.374
Create onboarding documentation for billing SDK users,4,COMMUNICATION,0.575
Bump version number for payment hotfix release,1,SHALLOW_WORK,0.123
File quarterly SOC2 compliance report,3,ADMINISTRATIVE,0.552
Fix typo in security documentation page,1,SHALLOW_WORK,0.244
Design data visualization dashboard for log metrics,2,CREATIVE,0.815
Create internal FAQ document for offline-first rollout,4,COMMUNICATION,0.513
Pin lodash to specific version for stability,1,SHALLOW_WORK,0.202
Create illustration set for architecture help center articles,2,CREATIVE,0.749
Write compelling copy for homepage landing page,2,CREATIVE,0.639
Update S3 configuration for staging environment,1,SHALLOW_WORK,0.219
Record podcast episode discussing Q1 roadmap industry trends,4,COMMUNICATION,0.652
Refactor the scheduling codebase to use CQRS pattern,0,DEEP_WORK,0.763
Record demo video showing auto-save new capabilities,4,COMMUNICATION,0.563
Audit user-profile service uptime logs for last month,3,ADMINISTRATIVE,0.253
Sketch wireframes for dark mode mobile experience,2,CREATIVE,0.546
